1	19.81	0.07
2	58.99	0.17
3	32.98	0.15
4	67.98	0.12
5	24.29	0.11
6	61.76	0.12
7	48.21	0.15
8	72.00	0.20
9	11.42	0.16
10	74.48	0.07
11	10.43	0.06
12	61.99	0.07
13	78.79	0.11
14	10.99	0.11
15	34.41	0.15
16	67.41	0.17
17	56.93	0.08
18	41.22	0.16
19	37.35	0.10
20	49.04	0.16
21	7.29	0.06
22	50.85	0.06
23	13.77	0.09
24	54.35	0.09
25	33.86	0.08
26	72.87	0.18
27	47.72	0.12
28	33.77	0.12
29	58.95	0.18
30	40.04	0.05
31	72.88	0.08
32	55.83	0.16
33	17.78	0.09
34	20.82	0.16
35	52.69	0.17
36	55.90	0.17
37	62.00	0.06
38	45.21	0.05
39	68.41	0.19
40	43.25	0.08
41	35.72	0.13
42	63.09	0.16
43	78.17	0.12
44	20.46	0.12
45	6.82	0.07
46	10.57	0.14
47	39.50	0.10
48	19.06	0.14
49	14.44	0.08
50	56.30	0.13
51	76.79	0.12
52	19.27	0.18
53	78.59	0.08
54	53.65	0.07
55	15.77	0.11
56	48.45	0.06
57	41.25	0.08
58	54.17	0.11
59	56.28	0.16
60	28.97	0.11
61	57.64	0.05
62	16.22	0.06
63	68.81	0.13
64	24.72	0.19
65	53.74	0.08
66	13.13	0.16
67	18.76	0.09
68	43.57	0.14
69	22.62	0.05
70	53.35	0.07
71	39.16	0.12
72	70.05	0.18
73	9.11	0.14
74	59.89	0.14
75	7.63	0.16
76	10.47	0.13
77	49.63	0.09
78	72.54	0.12
79	30.67	0.07
80	52.21	0.16
81	47.03	0.10
82	22.88	0.15
83	42.38	0.05
84	7.20	0.13
85	71.07	0.08
86	62.86	0.07
87	23.10	0.12
88	50.96	0.09
89	15.27	0.05
90	5.33	0.15
91	71.09	0.06
92	25.28	0.17
93	13.35	0.12
94	59.07	0.09
95	39.60	0.14
96	28.81	0.14
97	56.02	0.14
98	37.41	0.18
99	75.28	0.15
100	51.17	0.13
101	41.63	0.13
102	55.45	0.12
103	30.91	0.10
104	46.17	0.17
105	53.36	0.20
106	70.71	0.12
107	20.20	0.08
108	64.85	0.06
109	34.39	0.19
110	65.36	0.11
111	12.20	0.10
112	51.57	0.19
113	32.04	0.17
114	31.61	0.13
115	30.28	0.15
116	20.63	0.10
117	45.12	0.06
118	25.48	0.09
119	60.66	0.09
120	23.51	0.06
121	32.37	0.18
122	58.48	0.12
123	76.39	0.17
124	45.42	0.16
125	29.21	0.10
126	48.34	0.14
127	27.82	0.08
128	58.06	0.18
129	39.10	0.17
130	47.70	0.18
131	75.59	0.11
132	52.23	0.14
133	5.75	0.15
134	44.41	0.12
135	8.95	0.13
136	76.02	0.09
137	59.41	0.15
138	51.95	0.13
139	78.51	0.14
140	54.73	0.16
141	79.31	0.17
142	27.68	0.09
143	50.64	0.10
144	59.22	0.14
145	61.27	0.20
146	27.36	0.10
147	48.61	0.11
148	35.48	0.15
149	31.27	0.13
150	51.96	0.07
151	30.36	0.11
152	62.48	0.10
153	26.13	0.05
154	59.12	0.17
155	8.72	0.17
156	58.36	0.06
157	6.94	0.12
158	61.43	0.14
159	47.60	0.17
160	75.49	0.16
161	71.71	0.14
162	73.77	0.18
163	73.30	0.10
164	12.47	0.20
165	56.92	0.14
166	38.11	0.13
