1	mesothelioma	0.93
1	lawyers	1.14
2	what	1.22
2	is	1.90
2	mesothelioma	1.13
3	peritoneal	0.81
3	mesothelioma	1.75
4	consolidate	0.58
4	loans	1.48
5	refinancing	1.71
5	mortgage	1.26
6	tax	0.63
6	attorney	1.53
7	mesothelioma	0.72
8	car	1.00
8	accident	1.89
8	lawyer	0.70
9	ameriquest	0.75
9	mortgage	0.97
10	mortgage	0.74
10	refinance	0.55
11	refinancing	1.05
12	auto	1.21
12	accident	1.05
12	attorney	1.66
13	equity	1.37
13	mortgage	0.88
14	mesothelioma	0.87
14	texas	1.34
15	mortgages	0.74
16	criminal	1.07
16	defense	1.25
16	attorney	0.95
17	epocrates	1.30
18	mesothelioma	1.96
19	car	0.70
19	accident	1.87
19	attorney	1.07
20	mortgage	1.41
20	refinance	0.65
20	rate	0.75
21	loan	1.07
21	refinance	1.58
22	personal	0.99
22	injury	1.08
22	attorney	0.77
23	best	1.19
23	refinance	1.89
24	register	1.34
24	domain	0.86
24	names	1.54
25	medical	0.85
25	malpractice	1.32
25	lawyer	1.38
26	incorporate	0.82
27	malignant	0.92
27	mesothelioma	0.95
28	mortgage	0.88
28	refinance	1.94
29	freecreditreport	0.53
30	fargo	1.80
30	refinance	1.98
31	mortgage	0.56
31	loans	1.72
32	125	1.34
32	refinance	1.21
33	los	1.97
33	angeles	1.85
33	lawyer	1.79
34	re	0.93
34	mortgage	1.57
35	how	0.95
35	to	1.86
35	register	1.67
35	a	0.65
35	domain	1.55
35	name	1.04
36	mortgage	1.01
36	refinance	1.21
36	rate	1.98
37	personal	1.85
37	injury	1.92
38	refinance	0.69
39	refinance	0.72
40	mortgage	1.57
40	loan	1.03
41	texas	1.19
41	refinance	0.79
42	medical	0.69
42	malpractice	0.82
42	attorneys	0.57
43	mortgage	0.81
43	application	0.93
44	mortgage	0.72
44	companies	0.55
45	countrywide	1.91
46	low	1.04
46	mortgage	1.00
46	rate	1.95
47	va	0.81
47	refinance	1.18
48	gmac	0.89
48	mortgage	1.58
49	california	1.16
49	mortgage	1.94
49	rates	1.20
50	ameriquest	1.51
51	florida	1.70
51	lawyer	0.93
52	dui	1.05
53	refinance	0.54
53	leads	1.74
54	domain	1.58
54	register	0.97
55	refinance	1.61
55	new	1.22
55	york	0.92
56	refinance	0.69
56	rental	1.84
56	property	1.24
57	utah	0.80
57	mortgage	1.88
58	mortgage	0.86
58	lenders	1.29
59	find	0.98
59	a	1.66
59	lawyer	0.98
60	mortgage	0.68
60	note	0.68
61	wrongful	1.05
61	death	0.70
62	car	1.90
62	insurance	0.56
62	quotes	0.76
63	discount	1.22
63	futures	1.81
63	trading	0.71
64	online	1.05
64	stock	1.20
64	purchases	1.46
65	auto	0.87
65	insurance	0.54
65	quote	0.52
66	life	1.23
66	insurance	0.62
66	quotes	1.95
67	auto	1.75
67	insurance	1.82
67	quotes	1.02
68	online	0.85
68	insurance	1.73
68	quotes	1.66
69	term	1.85
69	life	1.04
69	insurance	1.46
69	quotes	0.50
70	scott	1.86
70	trade	1.18
71	auto	1.42
71	insurance	0.96
72	buy	0.84
72	stocks	1.58
72	on	1.23
72	line	0.83
73	car	1.92
73	quotes	1.67
74	insurance	1.58
74	quotes	1.57
75	insurance	1.80
75	quotes	1.92
76	car	1.88
76	insurance	1.47
76	quote	1.82
77	purchase	1.72
77	stocks	1.34
77	online	1.28
78	buy	0.62
78	stocks	0.51
78	online	1.87
79	term	1.29
79	life	1.42
79	insurance	1.80
80	quotes	0.98
81	quotes	0.94
82	0	1.71
82	interest	1.96
82	credit	0.91
82	card	0.78
83	real	1.08
83	estate	0.96
83	leads	1.14
84	buy	1.36
84	stock	1.40
84	online	0.88
85	buying	0.90
85	stocks	1.46
85	online	1.21
86	humana	1.69
86	insurance	0.60
87	trading	1.53
87	commodities	1.18
88	car	1.29
88	insurance	1.94
88	rates	1.93
89	online	1.06
89	insurance	1.43
90	auto	1.47
90	insurance	0.60
90	companies	0.55
91	auto	1.77
91	insurance	1.55
91	rates	1.64
92	free	0.89
92	quotes	1.38
93	car	1.90
93	quote	1.28
94	futures	0.60
94	brokerage	0.51
95	stocks	1.14
95	online	1.44
96	adwords	1.22
96	login	0.77
97	usaa	0.67
97	credit	0.84
97	card	1.67
98	life	1.02
98	quotes	0.91
99	life	1.21
99	quotes	1.53
100	pleasant	1.97
100	holidays	0.78
101	disney	0.88
101	credit	1.77
101	card	0.90
102	life	1.50
102	insurance	1.80
102	quote	1.55
103	life	1.13
103	insurance	1.38
103	quote	0.94
104	how	1.78
104	to	0.99
104	buy	1.12
104	stocks	0.64
104	online	1.92
105	0	0.72
105	apr	1.60
105	credit	0.69
105	card	0.95
106	insurance	1.40
106	quote	1.23
107	insurance	0.97
107	quote	1.15
108	united	0.80
108	credit	1.25
108	card	1.68
109	futures	1.23
109	brokers	0.92
110	free	1.76
110	home	1.38
110	insurance	0.57
110	quote	0.55
111	car	1.47
111	insurance	1.56
111	companies	1.01
112	credit	0.81
112	card	1.82
112	machines	0.96
113	life	1.79
113	insurance	1.41
113	rates	1.43
114	online	1.39
114	futures	1.46
114	trading	1.17
115	0	1.87
115	apr	1.70
115	credit	1.15
115	cards	1.13
116	hope	1.37
116	quotes	0.99
117	0	1.08
117	credit	1.46
117	card	1.21
118	online	0.94
118	futures	1.68
119	best	1.43
119	credit	0.81
119	card	0.93
119	deals	1.59
120	lincoln	0.71
120	quotes	0.88
121	0	0.63
